資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長さ	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-041-01	邦訳日葡辞書	737	386	一	一	萬一	万一	banichi		2	2			イチ	バンイチ					049l		ichi
50-041-01	邦訳日葡辞書	738	387	磐	磐	磐石	磐石	banjacu		1	2			バン	バンジャク					049l		ban
50-041-01	邦訳日葡辞書	739	387	石	石	磐石	磐石	banjacu		2	2			ジャク	バンジャク					049l		jacu
50-041-01	邦訳日葡辞書	740	388	番	番	番勢	番勢	banjei		1	2			バン	バンゼイ					049l		ban
50-041-01	邦訳日葡辞書	741	388	勢	勢	番勢	番勢	banjei		2	2			ゼイ	バンゼイ					049l		jei
50-041-01	邦訳日葡辞書	742	389	萬	万	萬歳	万歳	banjei		1	2			バン	バンゼイ					049l		ban
50-041-01	邦訳日葡辞書	743	389	歳	歳	萬歳	万歳	banjei		2	2			ゼイ	バンゼイ					049l		jei
50-041-01	邦訳日葡辞書	744	390	萬	万	萬事	万事	banji		1	2			バン	バンジ					049l		ban
50-041-01	邦訳日葡辞書	745	390	事	事	萬事	万事	banji		2	1			ジ	バンジ					049l		ji
50-041-01	邦訳日葡辞書	746	391	晩	晩	晩	晩じ	banji	混種語	1	2			バンじ	バンジ				"見出し語出現形：banji, zuru, ita."	049l		banji
50-041-01	邦訳日葡辞書	747	392	萬	万	萬仞	万仞	banjin		1	2			バン	バンジン				推定表記出現形：万仞・番神	049l		ban
50-041-01	邦訳日葡辞書	748	392	仞	仞	萬仞	万仞	banjin		2	2			ジン	バンジン				推定表記出現形：万仞・番神	049l		jin
50-041-01	邦訳日葡辞書	749	393	番	番	番神	番神	banjin		1	2			バン	バンジン				推定表記出現形：万仞・番神	049l		ban
50-041-01	邦訳日葡辞書	750	393	神	神	番神	番神	banjin		2	2			ジン	バンジン				推定表記出現形：万仞・番神	049l		jin
50-041-01	邦訳日葡辞書	751	394	晩	晩	晩日	晩日	banjit		1	2			バン	バンジっ					049l		ban
50-041-01	邦訳日葡辞書	752	394	日	日	晩日	晩日	banjit		2	2			ジっ	バンジっ					049l		jit
50-041-01	邦訳日葡辞書	753	395	萬	万	萬乘	万乗	banj_		1	2			バン	バンジョゥ					049l		ban
50-041-01	邦訳日葡辞書	754	395	乘	乗	萬乘	万乗	banj_		2	2			ジョゥ	バンジョゥ					049l		j_
50-041-01	邦訳日葡辞書	755	396	番	番	番匠	番匠	banjo_		1	2			バン	バンジャゥ					049l	複合派生項目：banjo_ var_	ban
50-041-01	邦訳日葡辞書	756	396	匠	匠	番匠	番匠	banjo_		2	2			ジャゥ	バンジャゥ					049l	複合派生項目：banjo_ var_	jo_
50-041-01	邦訳日葡辞書	757	397	萬	万	萬樹	万樹	banju		1	2			バン	バンジュ					049l		ban
50-041-01	邦訳日葡辞書	758	397	樹	樹	萬樹	万樹	banju		2	1			ジュ	バンジュ					049l		ju
50-041-01	邦訳日葡辞書	759	398	萬	万	萬民	万民	banmin		1	2			バン	バンミン					049l		ban
50-041-01	邦訳日葡辞書	760	398	民	民	萬民	万民	banmin		2	2			ミン	バンミン					049l		min
50-041-01	邦訳日葡辞書	761	399	萬	万	萬物	万物	banmot		1	2			バン	バンモっ					049l	2項目を統合（banbutのvel注記）	ban
50-041-01	邦訳日葡辞書	762	399	物	物	萬物	万物	banmot		2	2			モっ	バンモっ					049l	2項目を統合（banbutのvel注記）	mot
50-041-01	邦訳日葡辞書	763	400	晩	晩	晩	晩もと	banmoto	混種語	1	2			バン	バンモト					049l†		ban
50-041-01	邦訳日葡辞書	764	401	萬	万	萬年	万年	bannen		1	2			バン	バンネン					049l		ban
50-041-01	邦訳日葡辞書	765	401	年	年	萬年	万年	bannen		2	2			ネン	バンネン					049l		nen
50-041-01	邦訳日葡辞書	766	402	萬	万	萬人	万人	bannin		1	2			バン	バンニン					049l		ban
50-041-01	邦訳日葡辞書	767	402	人	人	萬人	万人	bannin		2	2			ニン	バンニン					049l		nin
50-041-01	邦訳日葡辞書	768	403	萬	万	萬般	万般	banpan		1	2			バン	バンパン					049l		ban
50-041-01	邦訳日葡辞書	769	403	般	般	萬般	万般	banpan		2	2			パン	バンパン					049l		pan
50-041-01	邦訳日葡辞書	770	404	萬	万	萬邦	万邦	banpo_		1	2			バン	バンパゥ					049l		ban
50-041-01	邦訳日葡辞書	771	404	邦	邦	萬邦	万邦	banpo_		2	2			パゥ	バンパゥ					049l		po_
50-041-01	邦訳日葡辞書	772	405	萬	万	萬方	万方	banpo_		1	2			バン	バンパゥ					049l		ban
50-041-01	邦訳日葡辞書	773	405	方	方	萬方	万方	banpo_		2	2			パゥ	バンパゥ					049l		po_
50-041-01	邦訳日葡辞書	774	406	晩	晩	晩風	晩風	banp_		1	2			バン	バンプゥ					049l		ban
50-041-01	邦訳日葡辞書	775	406	風	風	晩風	晩風	banp_		2	2			プゥ	バンプゥ					049l		p_
50-041-01	邦訳日葡辞書	776	407	萬	万	萬化	万化	banqe		1	2			バン	バンケ					049l		ban
50-041-01	邦訳日葡辞書	777	407	化	化	萬化	万化	banqe		2	1			ケ	バンケ					049l		qe
50-041-01	邦訳日葡辞書	778	408	晩	晩	晩景	晩景	banqei		1	2			バン	バンケイ					049l		ban
50-041-01	邦訳日葡辞書	779	408	景	景	晩景	晩景	banqei		2	2			ケイ	バンケイ					049l		qei
50-041-01	邦訳日葡辞書	780	409	萬	万	萬景	万景	banqei		1	2			バン	バンケイ					049r		ban
50-041-01	邦訳日葡辞書	781	409	景	景	萬景	万景	banqei		2	2			ケイ	バンケイ					049r		qei
50-041-01	邦訳日葡辞書	782	410	萬	万	萬機	万機	banqi		1	2			バン	バンキ					049r		ban
50-041-01	邦訳日葡辞書	783	410	機	機	萬機	万機	banqi		2	1			キ	バンキ					049r		qi
50-041-01	邦訳日葡辞書	784	411	萬	万	萬喜	万喜	banqi		1	2			バン	バンキ					049r		ban
50-041-01	邦訳日葡辞書	785	411	喜	喜	萬喜	万喜	banqi		2	1			キ	バンキ					049r		qi
50-041-01	邦訳日葡辞書	786	412	萬	万	萬吉	万吉	banqichi		1	2			バン	バンキチ				"見出し語出現形：Banqichi. l, banqit."	049r	2項目を統合（banqitのvel注記）	ban
50-041-01	邦訳日葡辞書	787	412	吉	吉	萬吉	万吉	banqichi		2	2			キチ	バンキチ				"見出し語出現形：Banqichi. l, banqit."	049r	2項目を統合（banqitのvel注記）	qichi
50-041-01	邦訳日葡辞書	788	413	萬	万	萬境	万境	banqio_		1	2			バン	バンキャゥ					049r		ban
50-041-01	邦訳日葡辞書	789	413	境	境	萬境	万境	banqio_		2	2			キャゥ	バンキャゥ					049r		qio_
50-041-01	邦訳日葡辞書	790	414	萬	万	萬吉	万吉	banqit		1	2			バン	バンキっ				"見出し語出現形：Banqit. l, banqichi."	049r	2項目を統合（banqichiのvel注記）	ban
50-041-01	邦訳日葡辞書	791	414	吉	吉	萬吉	万吉	banqit		2	2			キっ	バンキっ				"見出し語出現形：Banqit. l, banqichi."	049r	2項目を統合（banqichiのvel注記）	qit
50-041-01	邦訳日葡辞書	792	415	萬	万	萬顆	万顆	banqua		1	2			バン	バンクヮ					049r		ban
50-041-01	邦訳日葡辞書	793	415	顆	顆	萬顆	万顆	banqua		2	1			クヮ	バンクヮ					049r		qua
50-041-01	邦訳日葡辞書	794	416	萬	万	萬花	万花	banqua		1	2			バン	バンクヮ					049r		ban
50-041-01	邦訳日葡辞書	795	416	花	花	萬花	万花	banqua		2	1			クヮ	バンクヮ					049r		qua
50-041-01	邦訳日葡辞書	796	417	萬	万	萬歡	万歓	banquan		1	2			バン	バンクヮン					049r		ban
50-041-01	邦訳日葡辞書	797	417	歡	歓	萬歡	万歓	banquan		2	2			クヮン	バンクヮン					049r		quan
50-041-01	邦訳日葡辞書	798	418	萬	万	萬樂	万楽	banracu		1	2			バン	バンラク					049r†		ban
50-041-01	邦訳日葡辞書	799	418	樂	楽	萬樂	万楽	banracu		2	2			ラク	バンラク					049r†		racu
50-041-01	邦訳日葡辞書	800	419	萬	万	萬靈	万霊	banrei		1	2			バン	バンレイ					049r		ban
50-041-01	邦訳日葡辞書	801	419	靈	霊	萬靈	万霊	banrei		2	2			レイ	バンレイ					049r		rei
50-041-01	邦訳日葡辞書	802	420	萬	万	萬里	万里	banri		1	2			バン	バンリ					049r		ban
50-041-01	邦訳日葡辞書	803	420	里	里	萬里	万里	banri		2	1			リ	バンリ					049r		ri
50-041-01	邦訳日葡辞書	804	421	萬	万	萬里江山	万里江山	banrico_zan		1	2			バン	バンリカゥザン					049r		ban
50-041-01	邦訳日葡辞書	805	421	里	里	萬里江山	万里江山	banrico_zan		2	1			リ	バンリカゥザン					049r		ri
50-041-01	邦訳日葡辞書	806	421	江	江	萬里江山	万里江山	banrico_zan		3	2			カゥ	バンリカゥザン					049r		co_
50-041-01	邦訳日葡辞書	807	421	山	山	萬里江山	万里江山	banrico_zan		4	2			ザン	バンリカゥザン					049r		zan
50-041-01	邦訳日葡辞書	808	422	萬	万	萬慮	万慮	banrio		1	2			バン	バンリョ					049r		ban
50-041-01	邦訳日葡辞書	809	422	慮	慮	萬慮	万慮	banrio		2	1			リョ	バンリョ					049r		rio
50-041-01	邦訳日葡辞書	810	423	萬	万	萬浪	万浪	banro_		1	2			バン	バンラゥ					049r		ban
50-041-01	邦訳日葡辞書	811	423	浪	浪	萬浪	万浪	banro_		2	2			ラゥ	バンラゥ					049r		ro_
50-041-01	邦訳日葡辞書	812	424	萬	万	萬勞	万労	banro_		1	2			バン	バンラゥ					049r		ban
50-041-01	邦訳日葡辞書	813	424	勞	労	萬勞	万労	banro_		2	2			ラゥ	バンラゥ					049r		ro_
50-041-01	邦訳日葡辞書	814	425	萬	万	萬類	万類	banrui		1	2			バン	バンルイ					049r		ban
50-041-01	邦訳日葡辞書	815	425	類	類	萬類	万類	banrui		2	2			ルイ	バンルイ					049r		rui
50-041-01	邦訳日葡辞書	816	426	萬	万	萬山	万山	bansan		1	2			バン	バンサン					049r		ban
50-041-01	邦訳日葡辞書	817	426	山	山	萬山	万山	bansan		2	2			サン	バンサン					049r		san
50-041-01	邦訳日葡辞書	818	427	伴	伴	伴僧	伴僧	bans_		1	2			バン	バンソゥ					049r		ban
50-041-01	邦訳日葡辞書	819	427	僧	僧	伴僧	伴僧	bans_		2	2			ソゥ	バンソゥ					049r		s_
50-041-01	邦訳日葡辞書	820	428	萬	万	萬卒	万卒	bansot		1	2			バン	バンソっ					049r		ban
50-041-01	邦訳日葡辞書	821	428	卒	卒	萬卒	万卒	bansot		2	2			ソっ	バンソっ					049r		sot
50-041-01	邦訳日葡辞書	822	429	晩	晩	晩炊	晩炊	bansui		1	2			バン	バンスイ					049r		ban
50-041-01	邦訳日葡辞書	823	429	炊	炊	晩炊	晩炊	bansui		2	2			スイ	バンスイ					049r		sui
50-041-01	邦訳日葡辞書	824	430	萬	万	萬退	万退	bantai		1	2			バン	バンタイ					049r		ban
50-041-01	邦訳日葡辞書	825	430	退	退	萬退	万退	bantai		2	2			タイ	バンタイ					049r		tai
50-041-01	邦訳日葡辞書	826	431	萬	万	萬端	万端	bantan		1	2			バン	バンタン					050l		ban
50-041-01	邦訳日葡辞書	827	431	端	端	萬端	万端	bantan		2	2			タン	バンタン					050l		tan
50-041-01	邦訳日葡辞書	828	432	番	番	番手	番手	bante	混種語	1	2			バン	バンテ					050l		ban
50-041-01	邦訳日葡辞書	829	433	晩	晩	晩天	晩天	banten		1	2			バン	バンテン					050l		ban
50-041-01	邦訳日葡辞書	830	433	天	天	晩天	晩天	banten		2	2			テン	バンテン					050l		ten
50-041-01	邦訳日葡辞書	831	434	萬	万	萬天	万天	banten		1	2			バン	バンテン					050l		ban
50-041-01	邦訳日葡辞書	832	434	天	天	萬天	万天	banten		2	2			テン	バンテン					050l		ten
50-041-01	邦訳日葡辞書	833	435	萬	万	萬答	万答	b_to_		1	2			バン	バンタゥ					050l		b_
50-041-01	邦訳日葡辞書	834	435	答	答	萬答	万答	b_to_		2	2			タゥ	バンタゥ					050l		to_
50-041-01	邦訳日葡辞書	835	436	萬	万	萬當	万当	banto_		1	2			バン	バンタゥ					050l		ban
50-041-01	邦訳日葡辞書	836	436	當	当	萬當	万当	banto_		2	2			タゥ	バンタゥ					050l		to_
50-041-01	邦訳日葡辞書	837	437	晩	晩	晩夕	晩夕	banxeqi		1	2			バン	バンセキ					050l		ban
50-041-01	邦訳日葡辞書	838	437	夕	夕	晩夕	晩夕	banxeqi		2	2			セキ	バンセキ					050l		xeqi
50-041-01	邦訳日葡辞書	839	438	萬	万	萬思	万思	banxi		1	2			バン	バンシ					050l		ban
50-041-01	邦訳日葡辞書	840	438	思	思	萬思	万思	banxi		2	1			シ	バンシ					050l		xi
50-041-01	邦訳日葡辞書	841	439	萬	万	萬死	万死	banxi		1	2			バン	バンシ					050l		ban
50-041-01	邦訳日葡辞書	842	439	死	死	萬死	万死	banxi		2	1			シ	バンシ					050l		xi
50-041-01	邦訳日葡辞書	843	440	盤	盤	盤渉	盤渉	banxiqi		1	2			バン	バンシキ					050l†		ban
50-041-01	邦訳日葡辞書	844	440	渉	渉	盤渉	盤渉	banxiqi		2	2			シキ	バンシキ					050l†		xiqi
50-041-01	邦訳日葡辞書	845	441	晩	晩	晩鐘	晩鐘	banx_		1	2			バン	バンショゥ					050l		ban
50-041-01	邦訳日葡辞書	846	441	鐘	鐘	晩鐘	晩鐘	banx_		2	2			ショゥ	バンショゥ					050l		x_
50-041-01	邦訳日葡辞書	847	442	晩	晩	晩食	晩食	banxocu		1	2			バン	バンショク					050l		ban
50-041-01	邦訳日葡辞書	848	442	食	食	晩食	晩食	banxocu		2	2			ショク	バンショク					050l		xocu
50-041-01	邦訳日葡辞書	849	443	晩	晩	晩色	晩色	banxocu		1	2			バン	バンショク					050l		ban
50-041-01	邦訳日葡辞書	850	443	色	色	晩色	晩色	banxocu		2	2			ショク	バンショク					050l		xocu
50-041-01	邦訳日葡辞書	851	444	番	番	番衆	番衆	banxu		1	2			バン	バンシュ					050l		ban
50-041-01	邦訳日葡辞書	852	444	衆	衆	番衆	番衆	banxu		2	1			シュ	バンシュ					050l		xu
50-041-01	邦訳日葡辞書	853	445	晩	晩	晩秋	晩秋	banx_		1	2			バン	バンシュゥ					050l		ban
50-041-01	邦訳日葡辞書	854	445	秋	秋	晩秋	晩秋	banx_		2	2			シュゥ	バンシュゥ					050l		x_
50-041-01	邦訳日葡辞書	855	446	晩	晩	晩出家	晩出家	banxucqe		1	2			バン	バンシュッケ					050l		ban
50-041-01	邦訳日葡辞書	856	446	出	出	晩出家	晩出家	banxucqe		2	2			シュッ	バンシュッケ					050l		xuc
50-041-01	邦訳日葡辞書	857	446	家	家	晩出家	晩出家	banxucqe		3	1			ケ	バンシュッケ					050l		qe
50-041-01	邦訳日葡辞書	858	447	半	半	半出家	半出家	fanxucqe		1	2			ハン	ハンシュッケ					050l		fan
50-041-01	邦訳日葡辞書	859	447	出	出	半出家	半出家	fanxucqe		2	2			シュッ	ハンシュッケ					050l		xuc
50-041-01	邦訳日葡辞書	860	447	家	家	半出家	半出家	fanxucqe		3	1			ケ	ハンシュッケ					050l		qe
50-041-01	邦訳日葡辞書	861	448	晩	晩	晩出家	晩出家	banxucqe		1	2			バン	バンシュッケ					050l		ban
50-041-01	邦訳日葡辞書	862	448	出	出	晩出家	晩出家	banxucqe		2	2			シュッ	バンシュッケ					050l		xuc
50-041-01	邦訳日葡辞書	863	448	家	家	晩出家	晩出家	banxucqe		3	1			ケ	バンシュッケ					050l		qe
50-041-01	邦訳日葡辞書	864	449	晩	晩	晩春	晩春	banxun		1	2			バン	バンシュン					050l		ban
50-041-01	邦訳日葡辞書	865	449	春	春	晩春	晩春	banxun		2	2			シュン	バンシュン					050l		xun
50-041-01	邦訳日葡辞書	866	450	番	番	番屋	番屋	banya	混種語	1	2			バン	バンヤ					050l		ban
50-041-01	邦訳日葡辞書	867	451	番	番	番役	番役	banyacu		1	2			バン	バンヤク					050l		ban
50-041-01	邦訳日葡辞書	868	451	役	役	番役	番役	banyacu		2	2			ヤク	バンヤク					050l		yacu
50-041-01	邦訳日葡辞書	869	452	晩	晩	晩影	晩影	banyei		1	2			バン	バンエイ					050l		ban
50-041-01	邦訳日葡辞書	870	452	影	影	晩影	晩影	banyei		2	2			エイ	バンエイ					050l		yei
50-041-01	邦訳日葡辞書	871	453	罰	罰	罰盃	罰盃	bappai		1	2			バッ	バッパイ					050l		bap
50-041-01	邦訳日葡辞書	872	453	盃	盃	罰盃	罰盃	bappai		2	2			パイ	バッパイ					050l		pai
50-041-01	邦訳日葡辞書	873	454	萬	万	萬方	万方	bappo_		1	2			バッ	バッパゥ					050l		bap
50-041-01	邦訳日葡辞書	874	454	方	方	萬方	万方	bappo_		2	2			パゥ	バッパゥ					050l		po_
50-041-01	邦訳日葡辞書	875	455	拔	抜	拔本	抜本	bappon		1	2			バッ	バッポン					050l		bap
50-041-01	邦訳日葡辞書	876	455	本	本	拔本	抜本	bappon		2	2			ポン	バッポン					050l		pon
50-041-01	邦訳日葡辞書	877	456	杓	杓	尿柄杓	尿柄杓	baribixacu	混種語	3	2			シャク	バリビシャク					050r		xacu
50-041-01	邦訳日葡辞書	878	457	馬	馬	馬藺	馬藺	barin		1	1			バ	バリン					051l		ba
50-041-01	邦訳日葡辞書	879	457	藺	藺	馬藺	馬藺	barin		2	2			リン	バリン					051l		rin
50-041-01	邦訳日葡辞書	880	458	結	結	尿結	尿結	bariqet	混種語	2	2			ケっ	バリケっ					051l†		qet
50-041-01	邦訳日葡辞書	881	459	馬	馬	馬路	馬路	baro		1	1			バ	バロ					051l		ba
50-041-01	邦訳日葡辞書	882	459	路	路	馬路	馬路	baro		2	1			ロ	バロ					051l		ro
50-041-01	邦訳日葡辞書	883	460	末	末	末孫	末孫	basson		1	2			バッ	バッソン					051l		bas
50-041-01	邦訳日葡辞書	884	460	孫	孫	末孫	末孫	basson		2	2			ソン	バッソン					051l		son
50-041-01	邦訳日葡辞書	885	461	罰	罰	罰	罰	bat		1	2			バっ	バっ					051l		bat
50-041-01	邦訳日葡辞書	886	462	罰	罰	罰惡	罰悪	batacu		1	2			バっ	バっアク					051l		bat
50-041-01	邦訳日葡辞書	887	462	惡	悪	罰惡	罰悪	batacu		2	2			アク	バっアク					051l		acu
50-041-01	邦訳日葡辞書	888	463	馬	馬	馬蹄	馬蹄	batei		1	1			バ	バテイ					051l		ba
50-041-01	邦訳日葡辞書	889	463	蹄	蹄	馬蹄	馬蹄	batei		2	2			テイ	バテイ					051l		tei
50-041-01	邦訳日葡辞書	890	464	拔	抜	拔舌	抜舌	batjet		1	2			バっ	バっゼっ					051l		bat
50-041-01	邦訳日葡辞書	891	464	舌	舌	拔舌	抜舌	batjet		2	2			ゼっ	バっゼっ					051l		jet
50-041-01	邦訳日葡辞書	892	465	馬	馬	馬頭	馬頭	bat_		1	1			バ	バトゥ					051l		ba
50-041-01	邦訳日葡辞書	893	465	頭	頭	馬頭	馬頭	bat_		2	2			トゥ	バトゥ					051l		t_
50-041-01	邦訳日葡辞書	894	466	末	末	末流	末流	batri_		1	2			バっ	バっリュゥ					051l		bat
50-041-01	邦訳日葡辞書	895	466	流	流	末流	末流	batri_		2	2			リュゥ	バっリュゥ					051l		ri_
50-041-01	邦訳日葡辞書	896	467	末	末	末葉	末葉	baty_		1	2			バっ	バっヨゥ					051l		bat
50-041-01	邦訳日葡辞書	897	467	葉	葉	末葉	末葉	baty_		2	2			ヨゥ	バっヨゥ					051l		y_
50-041-01	邦訳日葡辞書	898	468	末	末	末座	末座	batza		1	2			バっ	バっザ					051l	2項目を統合（suyezaのvel注記）	bat
50-041-01	邦訳日葡辞書	899	468	座	座	末座	末座	batza		2	1			ザ	バっザ					051l	2項目を統合（suyezaのvel注記）	za
50-041-01	邦訳日葡辞書	900	469	罰	罰	罰罪	罰罪	batzai		1	2			バっ	バっザイ					051l		bat
50-041-01	邦訳日葡辞書	901	469	罪	罪	罰罪	罰罪	batzai		2	2			ザイ	バっザイ					051l		zai
50-041-01	邦訳日葡辞書	902	470	馬	馬	馬借	馬借	baxacu		1	1			バ	バシャク					051l	2項目を統合	ba
50-041-01	邦訳日葡辞書	903	470	借	借	馬借	馬借	baxacu		2	2			シャク	バシャク					051l	2項目を統合	xacu
50-041-01	邦訳日葡辞書	904	471	馬	馬	馬氈	馬氈	baxen		1	1			バ	バセン					051r		ba
50-041-01	邦訳日葡辞書	905	471	氈	氈	馬氈	馬氈	baxen		2	2			セン	バセン					051r		xen
50-041-01	邦訳日葡辞書	906	472	馬	馬	馬錢	馬銭	baxen		1	1			バ	バセン					051r		ba
50-041-01	邦訳日葡辞書	907	472	錢	銭	馬錢	馬銭	baxen		2	2			セン	バセン					051r		xen
50-041-01	邦訳日葡辞書	908	473	馬	馬	馬？	馬？	baxo_		1	1			バ	バシャゥ					051r		ba
50-041-01	邦訳日葡辞書	909	473	？	？	馬？	馬？	baxo_		2	2			シャゥ	バシャゥ					051r		xo_
50-041-01	邦訳日葡辞書	910	474	馬	馬	馬書	馬書	baxo_		1	1			バ	バシャゥ					051r		ba
50-041-01	邦訳日葡辞書	911	474	書	書	馬書	馬書	baxo_		2	2			シャゥ	バシャゥ					051r		xo_
50-041-01	邦訳日葡辞書	912	475	馬	馬	馬上	馬上	baxo_		1	1			バ	バシャゥ					051r		ba
50-041-01	邦訳日葡辞書	913	475	上	上	馬上	馬上	baxo_		2	2			シャゥ	バシャゥ					051r		xo_
50-041-01	邦訳日葡辞書	914	476	芭	芭	芭蕉	芭蕉	bax_		1	1			バ	バショゥ					051r	"複合派生項目：bax_ba, bax_nuno"	ba
50-041-01	邦訳日葡辞書	915	476	蕉	蕉	芭蕉	芭蕉	bax_		2	2			ショゥ	バショゥ					051r	"複合派生項目：bax_ba, bax_nuno"	x_
50-041-01	邦訳日葡辞書	916	477	馬	馬	馬上盞	馬上盞	baxo_san		1	1			バ	バシャゥサン					051r		ba
50-041-01	邦訳日葡辞書	917	477	上	上	馬上盞	馬上盞	baxo_san		2	2			シャゥ	バシャゥサン					051r		xo_
50-041-01	邦訳日葡辞書	918	477	盞	盞	馬上盞	馬上盞	baxo_san		3	2			サン	バシャゥサン					051r		san
50-041-01	邦訳日葡辞書	919	478	馬	馬	馬首	馬首	baxu		1	1			バ	バシュ					051r		ba
50-041-01	邦訳日葡辞書	920	478	首	首	馬首	馬首	baxu		2	1			シュ	バシュ					051r		xu
50-041-01	邦訳日葡辞書	921	479	末	末	末子	末子	baxxi		1	2			バッ	バッシ					051r		bax
50-041-01	邦訳日葡辞書	922	479	子	子	末子	末子	baxxi		2	1			シ	バッシ					051r		xi
50-041-01	邦訳日葡辞書	923	480	罰	罰	罰	罰し	baxxi	混種語	1	2			バッし	バッシ				"見出し語出現形：baxxi, suru, ita. l, batsuru."	051r		baxxi
50-041-01	邦訳日葡辞書	924	481	馬	馬	馬煙	馬煙	bayen		1	1			バ	バエン					051r		ba
50-041-01	邦訳日葡辞書	925	481	煙	煙	馬煙	馬煙	bayen		2	2			エン	バエン					051r		yen
50-041-01	邦訳日葡辞書	926	482	拔	抜	拔髓	抜髄	bazzui		1	2			バッ	バッズイ					051r		baz
50-041-01	邦訳日葡辞書	927	482	髓	髄	拔髓	抜髄	bazzui		2	2			ズイ	バッズイ					051r		zui
50-041-01	邦訳日葡辞書	928	483	鼈	鼈	鼈羹	鼈羹	beccan		1	2			ベッ	ベッカン					052l		bec
50-041-01	邦訳日葡辞書	929	483	羹	羹	鼈羹	鼈羹	beccan		2	2			カン	ベッカン					052l		can
50-041-01	邦訳日葡辞書	930	484	別	別	別各	別各	beccaqu		1	2			ベッ	ベッカク					052l		bec
50-041-01	邦訳日葡辞書	931	484	各	各	別各	別各	beccaqu		2	2			カク	ベッカク					052l		caqu
50-041-01	邦訳日葡辞書	932	485	別	別	別地	別地	becchi		1	2			ベッ	ベッチ					052l		bec
50-041-01	邦訳日葡辞書	933	485	地	地	別地	別地	becchi		2	1			チ	ベッチ					052l		chi
50-041-01	邦訳日葡辞書	934	486	鼈	鼈	鼈甲	鼈甲	becc_		1	2			ベッ	ベッコゥ					052l		bec
50-041-01	邦訳日葡辞書	935	486	甲	甲	鼈甲	鼈甲	becc_		2	2			コゥ	ベッコゥ					052l		c_
50-041-01	邦訳日葡辞書	936	487	鼈	鼈	鼈甲	鼈甲	becco_		1	2			ベッ	ベッカゥ					052l†		bec
50-041-01	邦訳日葡辞書	937	487	甲	甲	鼈甲	鼈甲	becco_		2	2			カゥ	ベッカゥ					052l†		co_
50-041-01	邦訳日葡辞書	938	488	別	別	別國	別国	beccocu		1	2			ベッ	ベッコク					052l		bec
50-041-01	邦訳日葡辞書	939	488	國	国	別國	別国	beccocu		2	2			コク	ベッコク					052l		cocu
50-041-01	邦訳日葡辞書	940	489	別	別	別恨	別恨	beccon		1	2			ベッ	ベッコン					052l		bec
50-041-01	邦訳日葡辞書	941	489	恨	恨	別恨	別恨	beccon		2	2			コン	ベッコン					052l		con
50-041-01	邦訳日葡辞書	942	490	別	別	別	別	bechi		1	2			ベチ	ベチ					052l		bechi
50-041-01	邦訳日葡辞書	943	491	別	別	別	別な	bechina	混種語	1	2			ベチ	ベチナ					052l	複合派生項目：bechini	bechi
50-041-01	邦訳日葡辞書	944	492	別	別	別別	別別	bechibechi		1	2			ベチ	ベチベチ					052l	複合派生項目：bechibechini	bechi
50-041-01	邦訳日葡辞書	945	492	別	別	別別	別別	bechibechi		2	2			ベチ	ベチベチ					052l	複合派生項目：bechibechini	bechi
50-041-01	邦訳日葡辞書	946	493	別	別	別段	別段	bechidan		1	2			ベチ	ベチダン				"語形注記：Melius, Betdan."	052l		bechi
50-041-01	邦訳日葡辞書	947	493	段	段	別段	別段	bechidan		2	2			ダン	ベチダン				"語形注記：Melius, Betdan."	052l		dan
50-041-01	邦訳日葡辞書	948	494	別	別	別儀	別儀	bechigui		1	2			ベチ	ベチギ					052l	複合派生項目：bechiguizosori	bechi
50-041-01	邦訳日葡辞書	949	494	儀	儀	別儀	別儀	bechigui		2	1			ギ	ベチギ					052l	複合派生項目：bechiguizosori	gui
50-041-01	邦訳日葡辞書	950	495	別	別	別事	別事	bechiji		1	2			ベチ	ベチジ					052l		bechi
50-041-01	邦訳日葡辞書	951	495	事	事	別事	別事	bechiji		2	1			ジ	ベチジ					052l		ji
50-041-01	邦訳日葡辞書	952	496	別	別	別時	別時	bechiji		1	2			ベチ	ベチジ					052l†		bechi
50-041-01	邦訳日葡辞書	953	496	時	時	別時	別時	bechiji		2	1			ジ	ベチジ					052l†		ji
50-041-01	邦訳日葡辞書	954	497	別	別	別人	別人	bechijin		1	2			ベチ	ベチジン					052l		bechi
50-041-01	邦訳日葡辞書	955	497	人	人	別人	別人	bechijin		2	2			ジン	ベチジン					052l		jin
50-041-01	邦訳日葡辞書	956	498	別	別	別家	別家	becqe		1	2			ベッ	ベッケ					052l		bec
50-041-01	邦訳日葡辞書	957	498	家	家	別家	別家	becqe		2	1			ケ	ベッケ					052l		qe
50-041-01	邦訳日葡辞書	958	499	別	別	別教	別教	becqe_		1	2			ベッ	ベッケゥ					052l		bec
50-041-01	邦訳日葡辞書	959	499	教	教	別教	別教	becqe_		2	2			ケゥ	ベッケゥ					052l		qe_
50-041-01	邦訳日葡辞書	960	500	別	別	別火	別火	becqua		1	2			ベッ	ベックヮ					052l		bec
50-041-01	邦訳日葡辞書	961	500	火	火	別火	別火	becqua		2	1			クヮ	ベックヮ					052l		qua
50-041-01	邦訳日葡辞書	962	501	米	米	米	米	bei		1	2			ベイ	ベイ					052l		bei
